"UMAP_1","UMAP_2","sample","major_cluster_label_trained_with_all","cluster_label_trained_with_all","subclass_bootstrapping_probability","subclass_name","Subclass"
-0.579158486303458,-4.74699006354469,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
2.84382384878718,1.2783037635122,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
0.751246808591714,-2.33870301520484,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.65020769697749,-1.0466383484568,"P5_new","Martinotti","Martinotti_1",1,"048 RHP-COA Ndnf Gaba","Other"
9.20339625937068,1.73621835434777,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-5.13363319772161,2.48215284073693,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-0.830082239088187,-5.99167380606788,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-6.32117420571721,-3.18556032454628,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"053 Sst Gaba","053 Sst Gaba"
-2.7344656600324,-4.11977229392189,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
1.05413162571513,-2.89016828810829,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
9.54788917166316,-0.39405910050529,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
2.9104956970843,0.760614714268269,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
5.62017339331233,0.0383971842561386,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
9.71826499563777,-0.361520626899181,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-6.745559276518,-2.76870546614784,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"052 Pvalb Gaba","052 Pvalb Gaba"
2.52859347921931,-1.65228436267036,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
3.85766881567561,2.6942714663778,"P5_new","LRP","LRP4",1,"053 Sst Gaba","053 Sst Gaba"
0.978891073289743,-2.69216499602455,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-1.14171332257665,0.715499124172749,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
10.7626652107867,0.73913409436089,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
2.63038748365962,1.07945033038002,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-4.11924415963567,1.25350131714684,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-1.93105512994207,1.32798471176964,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
2.70375245672785,-2.06098542487281,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-6.91964155572332,2.38591375077111,"P5_new","Non-Martinotti","Non-Martinotti_4",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-3.0510099543897,-6.42164931571144,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-1.50463324922002,-2.68817100798744,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
0.289166646573177,4.42246117318017,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"052 Pvalb Gaba","052 Pvalb Gaba"
0.197037524107328,2.04626145089013,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-1.23069042104162,6.09123816216332,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"054 STR Prox1 Lhx6 Gaba","Other"
3.35091012579524,-0.820988812800822,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-4.80388265984929,-5.53189263617652,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-0.890494765218863,-2.60921893393653,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.89480942350947,-0.835934737082896,"P5_new","Martinotti","Martinotti_3",1,"075 MEA-BST Lhx6 Nr2e1 Gaba","Other"
-0.786290468153128,2.20012726509911,"P5_new","Non-Martinotti","Martinotti_2",0.91,"053 Sst Gaba","053 Sst Gaba"
10.5518392906817,-1.61582408225196,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-1.54528540509618,3.47855987274987,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
11.4074920998248,0.332858523968282,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
3.26784366232478,-1.71155069148201,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-2.88442713159002,-3.60161576544899,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-3.68293959039129,2.33545412743432,"P5_new","Non-Martinotti","Non-Martinotti_3",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-4.68397623437322,-5.34503588950294,"P5_new","LRP","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.85172182458318,-3.47115168845314,"P5_new","LRP","Non-Martinotti_5",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-2.10491091149724,2.41811384880883,"P5_new","Non-Martinotti","Non-Martinotti_1",0.91,"053 Sst Gaba","053 Sst Gaba"
0.272205422196021,1.8244782897268,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
5.28216165167414,-1.40776667868751,"P5_new","Martinotti","Martinotti_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
