"DC1","DC2","Pseudotime","time_point","clusters"
-0.0014764364514844,0.0049058264973739,0.0615659765412481,"E16","LRP2.1"
-0.000434832768094556,0.00956036596302192,0.0339304397227933,"E16","LRP2.1"
0.00346114337951377,0.0059656470210802,0.0222120576182735,"E16","LRP2.1"
0.00665484453897183,-0.000720473863748721,0.0743622077839151,"E16","LRP1.0"
0.00469664998807623,0.00563723717827081,0.0394033177396905,"E16","LRP2.1"
0.00851569323492555,-0.000804283721131698,0.0976433614403712,"E16","LRP1.0"
0.0103548512404576,-0.0101740592826112,0.147146951740903,"E16","LRP1.0"
0.00188177703746202,0.00737391891559223,0.0119363929528963,"E16","LRP2.1"
0.000102697202984702,0.00600558396456677,0.0394036113056722,"E16","LRP2.1"
0.0123962236560608,-0.0109213606173813,0.162195459603592,"E16","LRP1.0"
0.00141038590550615,0.00245247597855899,0.0479828342640872,"E16","LRP2.1"
0.00136092353792373,0.00895493552933653,0.0106324860273321,"E16","LRP2.1"
0.00244418152486234,0.00707338722236006,0.0122532276383771,"E16","LRP2.1"
0.000550946150158634,0.00841229406864082,0.0283730858621243,"P1","LRP2.1"
-0.00711829974785205,0.0108394182733221,0.120539383854077,"P1","LRP2.1"
0.0145809362652892,-0.0173231465966427,0.210041962439782,"P1","LRP1.0"
-0.0127513307348779,0.00765407428137042,0.189568464420124,"P1","LRP2.1"
0.00240044403846255,0.00897477305646423,0.0313405208057635,"P1","LRP2.1"
0.0112864664268788,-0.00941074891349884,0.149903738891691,"P1","LRP1.0"
0.00488749599680851,0.00250446942894482,0.0524226780596753,"P1","LRP2.1"
-0.0120897725754797,0.00948495086756769,0.18553752647679,"P1","LRP2.1"
0.00610866201974796,0.00373110220485573,0.0627591188306267,"P1","LRP1.0"
0.00515342302965957,0.00263895263227587,0.0502901538288263,"P1","LRP1.0"
-0.00093475466026835,0.0110808123157031,0.0450363554727353,"P1","LRP2.1"
-0.00185578661320197,0.0115314381344667,0.0560981670553134,"P1","LRP2.1"
-0.00312353884144769,0.00696205364832748,0.10641619187158,"P1","LRP2.1"
0.00647389647982334,0.00101262395862515,0.0691055543000477,"P1","LRP1.0"
0.00557656496155885,0.00592103437981336,0.0630390962671469,"P1","LRP1.0"
0.000907746467431886,0.0100771653578408,0.0319016356053187,"P1","LRP2.1"
