"UMAP_1","UMAP_2","metadata"
0.254495952438685,-2.18859907144413,"non-Martinotti"
0.990669135164591,-1.97436305040226,"non-Martinotti"
-0.277992125440267,-1.82775362485752,"non-Martinotti"
-3.62001657097402,-1.096549353541,"non-Martinotti"
0.508152309965464,5.03154782301082,"Martinotti_0215 Sst Gaba_2"
1.27386033923564,-5.13946934694157,"non-Martinotti"
-1.4889680108315,-1.71249433511601,"Martinotti_Other"
-4.47284960358205,4.18132571226253,"Martinotti_0215 Sst Gaba_2"
1.55949795634684,-5.25092621797428,"non-Martinotti"
4.56468415648875,-2.72541352266178,"non-Martinotti"
0.86911929042277,-3.40855093950138,"non-Martinotti"
-1.28815769760671,-0.127544469178775,"Martinotti_Other"
0.682161335062357,-5.70669480317936,"non-Martinotti"
2.25385570914683,-5.43127938264714,"non-Martinotti"
5.91958022506175,-3.9313618754755,"non-Martinotti"
-3.6225426158196,-1.05771931165562,"non-Martinotti"
1.91685271651682,-5.91782876008854,"non-Martinotti"
5.03107762725291,-4.10957118028507,"non-Martinotti"
-1.26868772118154,-6.12871666902409,"Martinotti_0230 Sst Gaba_17"
-2.01074146835866,-1.38419552797184,"Martinotti_Other"
2.46219230086741,5.79055241590633,"Martinotti_Other"
1.99899912269053,-6.06338902467594,"non-Martinotti"
6.94653106124339,3.20792988783016,"Martinotti_0228 Sst Gaba_15"
7.28143191726145,2.77558735853328,"Martinotti_0215 Sst Gaba_2"
-1.15954255669179,-5.44709654802189,"non-Martinotti"
6.6008985081428,-3.3368544196497,"non-Martinotti"
7.55428624541697,2.56588939672603,"non-Martinotti"
2.11206341178355,-3.02287479394779,"non-Martinotti"
2.91686749846873,4.16043023115291,"Martinotti_0225 Sst Gaba_12"
-0.863849814820913,-3.91231366151676,"non-Martinotti"
-5.56555151550832,0.670637586175344,"Martinotti_0215 Sst Gaba_2"
-3.62090277283254,4.56292084699764,"Martinotti_0215 Sst Gaba_2"
-3.62442302315297,1.62089292055263,"Martinotti_Other"
0.12900998086867,-4.65671845430241,"non-Martinotti"
1.97714853675303,-5.84520359987126,"non-Martinotti"
-0.233998250055937,-2.135904989184,"non-Martinotti"
1.86331034095225,5.59901551252498,"Martinotti_0225 Sst Gaba_12"
-4.57993483154836,3.85241178518429,"Martinotti_0215 Sst Gaba_2"
-6.41577839462819,1.61186627393856,"Martinotti_Other"
3.35157871634898,-2.71452637666569,"non-Martinotti"
2.5993070641273,-5.64931889528141,"non-Martinotti"
0.397205744098993,-2.26339789384709,"non-Martinotti"
3.42153478057322,-2.09144278520451,"non-Martinotti"
2.02703166396556,-2.09435006135807,"non-Martinotti"
-1.35280465691152,1.45138029104366,"Martinotti_Other"
-2.19991635887685,3.15575508123531,"Martinotti_0215 Sst Gaba_2"
1.42513251693186,-5.10612078660832,"non-Martinotti"
1.56762159259257,-6.6019284343134,"non-Martinotti"
2.82885766417918,-1.06774230951176,"non-Martinotti"
-1.08477663605276,-3.8527440642725,"non-Martinotti"
-0.00521985052886381,-6.17071887010441,"non-Martinotti"
-1.42210864632192,-2.51019688600407,"non-Martinotti"
