"UMAP_1","UMAP_2","Sample_Group","Major","Minor"
2.25385570914683,-5.43127938264714,"Base Atlas","Non-Martinotti","nMC2"
5.91958022506175,-3.9313618754755,"Base Atlas","Non-Martinotti","nMC4"
-3.6225426158196,-1.05771931165562,"Base Atlas","Non-Martinotti","nMC4"
2.63557029159007,3.74976781850948,"Base Atlas","Martinotti","MC1"
1.91685271651682,-5.91782876008854,"Base Atlas","Non-Martinotti","nMC2"
-0.475424971271185,1.24021224027767,"Base Atlas","Martinotti","MC2"
-10.3235623797661,1.43449846750393,"Base Atlas","LRP","HIn1"
2.27544045836863,-6.25654669755802,"Base Atlas","Non-Martinotti","nMC2"
-1.86047780125204,-5.97669192308293,"Base Atlas","Martinotti","MC3"
5.03107762725291,-4.10957118028507,"Base Atlas","Non-Martinotti","nMC4"
-1.26868772118154,-6.12871666902409,"Base Atlas","Martinotti","MC3"
-2.01074146835866,-1.38419552797184,"Base Atlas","Martinotti","MC2"
6.26090217025218,2.81869796758785,"Base Atlas","Non-Martinotti","nMC5"
-10.3049542865044,1.29339937215938,"Base Atlas","LRP","LRP2"
2.46219230086741,5.79055241590633,"Base Atlas","Martinotti","MC1"
-1.05312430470052,-2.99300428384648,"Base Atlas","Non-Martinotti","nMC1"
1.99899912269053,-6.06338902467594,"Base Atlas","Non-Martinotti","nMC2"
-5.68470120041433,0.440456190167806,"Base Atlas","LRP","HIn1"
6.94653106124339,3.20792988783016,"Base Atlas","Martinotti","MC1"
3.20524025351939,-4.36384125703678,"Base Atlas","Non-Martinotti","nMC1"
1.67347824962077,-6.50734015458927,"Base Atlas","Non-Martinotti","nMC2"
0.851325694631907,-1.99446555131779,"Base Atlas","Non-Martinotti","nMC1"
7.28143191726145,2.77558735853328,"Base Atlas","Martinotti","MC1"
-1.15954255669179,-5.44709654802189,"Base Atlas","Non-Martinotti","nMC1"
-0.900759037423758,-1.35607942098484,"Base Atlas","Martinotti","MC2"
3.33742213637766,-3.71619673723088,"Base Atlas","Non-Martinotti","nMC3"
