"","brain_section_label","x","y","supertype_label"
"45894126201462003042632329698562015232","Zhuang-ABCA-2.027",3.13295187382067,6.39828091536542,"OT D3 Folh1 Gaba_3"
"57666832215673255286678037429535899648","Zhuang-ABCA-2.027",3.17547580788172,6.45309235253476,"Astro-TE NN_3"
"58974528382056323289687417808169730048","Zhuang-ABCA-2.027",3.30392569864991,6.36523089937528,"STR D1 Gaba_6"
"67676791573231581694154593270398713856","Zhuang-ABCA-2.027",3.13358200273356,6.38937197289208,"OT D3 Folh1 Gaba_3"
"8377807812234025924731409627281883136","Zhuang-ABCA-2.027",3.21754794699239,6.46338795745143,"Astro-TE NN_3"
"91361925761831797200246645749473869824","Zhuang-ABCA-2.027",3.21565138504061,6.36366705185241,"STR D1 Gaba_6"
"93007309249306527532357041342113644544","Zhuang-ABCA-2.027",3.14912616071979,6.37434927466218,"OT D3 Folh1 Gaba_3"
"93551610571225085665233039740534521856","Zhuang-ABCA-2.027",3.26908374154875,6.44010205339561,"Peri NN_1"
"97180369182478932742283103544685887488","Zhuang-ABCA-2.027",3.27985606306576,6.41698875932382,"Endo NN_1"
"129118735045298725431878199306358882304","Zhuang-ABCA-2.027",3.41947835528896,6.50546628575542,"Endo NN_1"
"132610776320221369875066067802507968512","Zhuang-ABCA-2.027",3.49293176925196,6.48123045653088,"Astro-TE NN_3"
"146125106084803966871243505261556531200","Zhuang-ABCA-2.027",3.50055003894664,6.41605777375756,"Astro-TE NN_3"
"17287821472194584112049057038696710144","Zhuang-ABCA-2.027",3.49212589547351,6.41235894382081,"STR D1 Gaba_6"
"181413263384793557044193823062400958464","Zhuang-ABCA-2.027",3.52059393070988,6.44770340948211,"STR D1 Gaba_6"
"197008055432596834635642278387833110528","Zhuang-ABCA-2.027",3.39503193584267,6.50757513311256,"Astro-TE NN_3"
"20393398196374968073002866423080419328","Zhuang-ABCA-2.027",3.49435286252652,6.39847446999337,"STR D1 Gaba_5"
"214246951623979575327744017455720169472","Zhuang-ABCA-2.027",3.46176816238509,6.51452750219889,"VLMC NN_1"
"22000261637687604619167469147518926848","Zhuang-ABCA-2.027",3.37383163863387,6.47024717085404,"OPC NN_1"
"228124869331937247984016839867933655040","Zhuang-ABCA-2.027",3.34176838925885,6.41982566719852,"Peri NN_1"
"239105654781708309294205423258508984320","Zhuang-ABCA-2.027",3.4964181246059,6.46491182501073,"Astro-TE NN_3"
"240144483756072010685841270728684470272","Zhuang-ABCA-2.027",3.44881830211732,6.45928603946376,"STR D1 Gaba_6"
"248833586740744863281264717151378341888","Zhuang-ABCA-2.027",3.38638741664159,6.4232104184071,"STR D1 Gaba_6"
"253232828842872452943707108670389092352","Zhuang-ABCA-2.027",3.34868518653884,6.37212669128857,"STR D2 Gaba_2"
"256362295566218900943385645456872701952","Zhuang-ABCA-2.027",3.44987548261307,6.41343147233903,"Astro-TE NN_3"
"258191779981365280713319274661600559104","Zhuang-ABCA-2.027",3.39436259333231,6.38018040675089,"STR D1 Gaba_6"
"26030068337972549721471430167902552064","Zhuang-ABCA-2.027",3.43626580209318,6.48590375862063,"Endo NN_1"
"285262566771333111492946451294660329472","Zhuang-ABCA-2.027",3.48331432487541,6.39359528712571,"STR D1 Gaba_6"
"293860880814717539399209961678564229120","Zhuang-ABCA-2.027",3.49323327284847,6.42804874953745,"Astro-TE NN_3"
"31873930616731026209686639635322634240","Zhuang-ABCA-2.027",3.35625634607089,6.45724289505019,"Endo NN_1"
"323355218131864127346106135117511524352","Zhuang-ABCA-2.027",3.46149560102845,6.38017484732068,"STR D2 Gaba_2"
"34738633732072815891497568180589559808","Zhuang-ABCA-2.027",3.40616310352125,6.43472117992408,"Astro-TE NN_3"
"52182055347234342741471112358602473472","Zhuang-ABCA-2.027",3.45767377395604,6.49725961856339,"RHP-COA Ndnf Gaba_2"
"63635661657791620310592878775933861888","Zhuang-ABCA-2.027",3.35824556815651,6.45820234394752,"Endo NN_1"
"80447807938831865962649230702379270144","Zhuang-ABCA-2.027",3.51455668851044,6.501367924626,"Astro-TE NN_1"
"99763021473422225467256103641410437120","Zhuang-ABCA-2.027",3.33081452663726,6.36864375920223,"STR D1 Gaba_6"
"103215896171891942482193799031828774912","Zhuang-ABCA-2.027",3.59543560100199,6.43151496950023,"STR D1 Gaba_6"
"104531616165950955111594886333512810496","Zhuang-ABCA-2.027",3.56561484792182,6.47163396976146,"Astro-TE NN_3"
"11264807301962646895211720406273622016","Zhuang-ABCA-2.027",3.66452801017021,6.44425053115244,"Endo NN_1"
"15005793401452040153075119717819088896","Zhuang-ABCA-2.027",3.53806964014965,6.50606704096235,"Endo NN_1"
"159438424703288849208641749978080870400","Zhuang-ABCA-2.027",3.69618459485682,6.49886133569275,"Endo NN_1"
"183891826946085399504202755305132523520","Zhuang-ABCA-2.027",3.63385286810198,6.39286187915418,"STR D1 Gaba_6"
"186074908074514574678691929754867597312","Zhuang-ABCA-2.027",3.57918549370251,6.43390687650508,"STR D1 Gaba_6"
"197147894811041629414854550539074535424","Zhuang-ABCA-2.027",3.54340007254291,6.44884696565372,"Endo NN_1"
"209248853858751836147952748986426720256","Zhuang-ABCA-2.027",3.52119730935126,6.4219117520111,"STR D1 Gaba_6"
"220897769168046822623925226198725033984","Zhuang-ABCA-2.027",3.52629105578903,6.42911836524046,"STR D1 Gaba_6"
"241526896843070899152034187603909541888","Zhuang-ABCA-2.027",3.54726642952982,6.50381495472602,"BAM NN_1"
"242460040087159548937021762513078845440","Zhuang-ABCA-2.027",3.58781204509665,6.439910240148,"STR D1 Gaba_6"
"276966993464758380468496795903897632768","Zhuang-ABCA-2.027",3.57010767686395,6.4081790635161,"STR D1 Gaba_6"
"284110698790992942290487374888004747264","Zhuang-ABCA-2.027",3.54926750442202,6.41463138037573,"STR D1 Gaba_6"
"291985943964166526625945092749304791040","Zhuang-ABCA-2.027",3.65599774576121,6.47002798429769,"Astro-TE NN_3"
"30155307494869735072235743379504234496","Zhuang-ABCA-2.027",3.52589264538233,6.48881283447577,"OPC NN_1"
"313925844092195189905694916559681617920","Zhuang-ABCA-2.027",3.54250036982201,6.40718505762131,"STR D1 Gaba_6"
"335807193108651596442432419352400625664","Zhuang-ABCA-2.027",3.61037561309297,6.4302755125876,"Endo NN_1"
"46014831466020653805830332597516894208","Zhuang-ABCA-2.027",3.68389821179884,6.42542007678521,"STR D1 Gaba_6"
"54024688540028466432499046695372324864","Zhuang-ABCA-2.027",3.55179420591546,6.39936097470837,"STR D1 Gaba_6"
"59687616472274610225900191933699981312","Zhuang-ABCA-2.027",3.53374426283618,6.42168913774564,"STR D1 Gaba_6"
"59793617547199932924953223904406536192","Zhuang-ABCA-2.027",3.55002032304693,6.44519985023028,"Endo NN_1"
"89520479704249841485387205999832596480","Zhuang-ABCA-2.027",3.51062733554251,6.48938622108017,"Microglia NN_1"
"91344856694495473941041956316294152192","Zhuang-ABCA-2.027",3.58040338922155,6.40722749037175,"STR D1 Gaba_6"
"96868856170323482152254668149866102784","Zhuang-ABCA-2.027",3.64967728991038,6.4302325265901,"STR D1 Gaba_6"
"112832970344619921122474562420232683520","Zhuang-ABCA-2.027",3.73300259437083,6.49932117540259,"Astro-TE NN_3"
"134151645245682684321191557165270171648","Zhuang-ABCA-2.027",3.74570155878172,6.48097459772778,"HPF CR Glut_1"
